X,Y,class
6.66724,1.68328,1
-5.8835,-2.1862,1
-1.51205,-0.964511,1
24.6543,4.6855,1
8.94708,-0.475265,1
17.6757,0.668051,1
18.6563,1.4258,1
3.70904,-0.491046,1
5.66066,-0.53335,1
11.6311,0.474842,1
15.6305,1.97335,1
-13.664,-1.56072,1
3.70976,-1.22803,1
10.2818,-0.0613122,1
0.276872,-0.471305,1
8.82092,-0.674629,1
19.8577,3.16331,1
31.0884,4.7085,1
14.4983,0.144189,1
9.50534,0.385845,1
20.3381,1.55465,1
-6.9337,-2.2283,1
12.1812,1.19589,1
21.1626,0.944711,1
7.56465,1.42164,1
13.7571,3.08732,1
-0.454202,-3.20472,1
5.33236,-0.831627,1
15.1084,0.985441,1
-0.265421,-0.395405,1
-1.93145,-0.051382,1
2.0878,-1.91625,1
-9.76458,-2.22752,1
10.3928,-0.738208,1
2.99567,-0.872865,1
10.9967,1.00033,1
5.2101,-0.0288155,1
23.1563,3.17093,1
7.19859,-0.0953299,1
2.73367,-0.740487,1
13.4225,1.8683,1
5.53686,0.358705,1
6.16583,0.622841,1
-1.5781,-2.78344,1
-7.56339,-4.26014,1
5.91882,0.279446,1
18.2854,2.15857,1
4.85512,-0.397458,1
5.83052,1.29236,1
2.39067,0.252424,1
2.09233,-2.32957,1
-0.322589,-1.53626,1
22.7985,1.35126,1
12.0507,-0.0682705,1
3.33619,-0.381548,1
3.89544,-0.0363736,1
-9.72964,-2.73279,1
22.4975,2.76862,1
8.03322,2.81544,1
0.960199,-1.43829,1
32.2043,5.11124,1
17.0408,1.94461,1
19.9882,4.12029,1
6.25122,-0.844978,1
7.61643,0.691986,1
3.6638,-2.72977,1
9.26178,-1.14152,1
20.0039,1.2032,1
27.186,3.01313,1
16.2318,2.12633,1
7.30634,-0.056582,1
-1.53319,-0.234146,1
9.36376,-1.00861,1
16.4497,-0.00354684,1
-5.82394,-2.27506,1
-7.10291,-2.3509,1
-2.40907,-1.51959,1
20.0398,2.38401,1
0.506105,-1.85228,1
-0.984077,-1.4742,1
26.0291,2.04843,1
8.52386,-0.576654,1
18.1323,2.54242,1
16.1096,1.081,1
17.445,1.81933,1
19.2651,1.69905,1
14.3935,-0.045993,1
3.17619,-1.42655,1
19.7346,2.53967,1
14.0253,1.04032,1
6.38173,0.12434,1
5.46353,-0.948745,1
12.9943,1.71162,1
3.35526,-0.82693,1
19.5167,1.94691,1
0.0433927,-1.76863,1
10.4487,1.59725,1
-0.0724091,-2.16408,1
-3.9984,-0.340409,1
5.72644,0.239826,1
7.51691,-1.07809,1
11.5601,-3.06212,1
10.4338,-1.26659,1
13.6245,1.60448,1
11.2542,6.30165,1
8.667,-0.912486,1
15.2249,5.41109,1
20.4577,10.2646,1
8.45353,0.638213,1
15.3482,1.40707,1
5.63718,-1.53157,1
12.858,4.77499,1
4.59191,-6.59378,1
7.13125,-7.58133,1
11.4742,-5.26446,1
15.6223,8.34326,1
13.49,-2.06511,1
11.4904,2.18079,1
13.3597,4.43504,1
10.763,1.44244,1
9.35087,-0.27472,1
10.4891,-1.12225,1
8.03741,-2.58483,1
13.9601,4.60792,1
16.6389,11.2901,1
7.63729,-4.22657,1
7.80382,-6.0748,1
14.3503,1.75803,1
4.18866,-11.3352,1
17.6567,13.3049,1
6.57275,-6.18643,1
7.06127,-4.80208,1
8.55064,-3.60576,1
5.35137,-7.06982,1
11.6465,-0.114652,1
3.66385,-4.57878,1
17.4467,8.3958,1
7.41732,0.0454317,1
11.7858,1.00636,1
5.7349,-5.8294,1
7.31073,-0.871479,1
5.62482,0.163786,1
3.17976,-5.05117,1
7.2389,1.40048,1
11.1287,1.574,1
10.0577,-1.74245,1
11.6084,3.26944,1
9.65917,-3.66076,1
11.6955,5.64357,1
17.8669,5.93201,1
12.1582,4.14599,1
14.8936,5.99152,1
8.80963,-1.07733,1
9.54372,5.05684,1
3.96959,-5.10223,1
6.89373,-3.31407,1
4.9117,-2.64806,1
7.52336,-1.85404,1
12.3103,4.06189,1
3.62073,-6.00726,1
17.1125,7.91574,1
13.601,5.39822,1
19.5756,9.98924,1
13.6261,-1.39354,1
13.2837,1.83451,1
17.6476,7.85841,1
9.08562,2.14046,1
9.64267,-1.3038,1
5.35851,-2.2346,1
6.70976,-1.18171,1
14.1227,4.08845,1
11.6453,-0.490174,1
11.236,0.666012,1
5.88928,-8.67727,1
8.8836,2.91951,1
17.407,11.3095,1
13.3433,4.49204,1
11.0019,8.09246,1
9.51419,0.546066,1
0.766033,-7.59839,1
0.639498,-13.0355,1
13.6505,3.63229,1
6.75299,-5.81415,1
14.5107,0.753334,1
14.1496,3.86033,1
13.7248,2.76548,1
14.824,5.80842,1
15.9333,6.46176,1
6.82797,0.351816,1
14.7773,4.38707,1
19.2469,9.83767,1
-5.61172,-13.8375,1
5.01345,-6.80574,1
14.4712,6.44023,1
5.8717,-0.19051,1
5.8088,-5.81741,1
9.42406,4.63729,1
11.1171,1.20154,1
18.6648,14.0736,1
10.3661,-3.75744,1
0.560855,9.46075,1
-1.33315,19.2577,1
2.49291,4.01167,1
5.50553,12.2553,1
0.307432,13.0453,1
