Wx,Wy
1,0
0.999848,0.0174524
0.999391,0.0348995
0.99863,0.052336
0.997564,0.0697565
0.996195,0.0871557
0.994522,0.104528
0.992546,0.121869
0.990268,0.139173
0.987688,0.156434
0.984808,0.173648
0.981627,0.190809
0.978148,0.207912
0.97437,0.224951
0.970296,0.241922
0.965926,0.258819
0.961262,0.275637
0.956305,0.292372
0.951057,0.309017
0.945519,0.325568
0.939693,0.34202
0.93358,0.358368
0.927184,0.374607
0.920505,0.390731
0.913545,0.406737
0.906308,0.422618
0.898794,0.438371
0.891007,0.45399
0.882948,0.469472
0.87462,0.48481
0.866025,0.5
0.857167,0.515038
0.848048,0.529919
0.838671,0.544639
0.829038,0.559193
0.819152,0.573576
0.809017,0.587785
0.798636,0.601815
0.788011,0.615661
0.777146,0.62932
0.766044,0.642788
0.75471,0.656059
0.743145,0.669131
0.731354,0.681998
0.71934,0.694658
0.707107,0.707107
0.694658,0.71934
0.681998,0.731354
0.669131,0.743145
0.656059,0.75471
0.642788,0.766044
0.62932,0.777146
0.615661,0.788011
0.601815,0.798636
0.587785,0.809017
0.573576,0.819152
0.559193,0.829038
0.544639,0.838671
0.529919,0.848048
0.515038,0.857167
0.5,0.866025
0.48481,0.87462
0.469472,0.882948
0.45399,0.891007
0.438371,0.898794
0.422618,0.906308
0.406737,0.913545
0.390731,0.920505
0.374607,0.927184
0.358368,0.93358
0.34202,0.939693
0.325568,0.945519
0.309017,0.951057
0.292372,0.956305
0.275637,0.961262
0.258819,0.965926
0.241922,0.970296
0.224951,0.97437
0.207912,0.978148
0.190809,0.981627
0.173648,0.984808
0.156434,0.987688
0.139173,0.990268
0.121869,0.992546
0.104528,0.994522
0.0871557,0.996195
0.0697565,0.997564
0.052336,0.99863
0.0348995,0.999391
0.0174524,0.999848
0,1
