W1,W2,W3,W4,W5,W6,W7,W8
0.573686,0.171558,0.670986,0.283364,0.444535,0.318651,0.17961,0.194359
0.962573,0.185344,0.283325,0.646347,0.701538,0.0088965,0.440385,0.622893
0.683779,0.180054,0.0557237,0.0438157,0.44193,0.813436,0.359619,0.360143
0.510518,0.571885,0.129452,0.345848,0.541102,0.509429,0.715257,0.719011
0.734512,0.547961,0.658646,0.980001,0.472716,0.662707,0.827183,0.405254
0.587576,0.436379,0.348117,0.0830906,0.828936,0.983903,0.835304,0.930752
0.0136615,0.927992,0.754585,0.371664,0.884621,0.921472,0.766896,0.981258
0.401934,0.287062,0.294695,0.869928,0.0294032,0.204535,0.853911,0.130957
0.512254,0.490825,0.209916,0.478827,0.287088,0.336005,0.825843,0.440752
0.0324242,0.323401,0.295262,0.091977,0.0777669,0.328576,0.857989,0.724639
0.487873,0.458803,0.541058,0.982267,0.988339,0.753801,0.208612,0.429304
0.931117,0.014938,0.48509,0.347938,0.341602,0.196714,0.858533,0.130578
0.224507,0.819566,0.0579963,0.396743,0.153503,0.309656,0.0307633,0.738512
0.742064,0.946532,0.485421,0.623952,0.708709,0.147602,0.0459864,0.855858
0.561635,0.222979,0.357371,0.518194,0.280067,0.650468,0.537832,0.857035
0.108398,0.465731,0.125183,0.395578,0.594244,0.218507,0.489429,0.59718
0.65941,0.0616954,0.727325,0.969713,0.240147,0.239792,0.358818,0.828081
0.67548,0.793738,0.18182,0.261756,0.937042,0.161376,0.314146,0.347178
0.229565,0.483475,0.557269,0.187363,0.149122,0.978722,0.391338,0.690575
0.584329,0.894797,0.214927,0.1197,0.49654,0.712581,0.233204,0.096265
0.974771,0.801562,0.815154,0.627813,0.760897,0.38943,0.646167,0.335072
0.218372,0.144012,0.891085,0.963253,0.951031,0.0795006,0.153741,0.763542
0.738632,0.330361,0.574815,0.555836,0.24125,0.136171,0.34128,0.274381
0.94495,0.0712442,0.436081,0.308172,0.687391,0.725325,0.852392,0.632045
0.0442662,0.0786408,0.641834,0.894839,0.0163375,0.0584526,0.913365,0.992713
0.384312,0.85454,0.362144,0.316103,0.914501,0.597081,0.992531,0.570392
0.74481,0.315046,0.931758,0.4831,0.904267,0.966888,0.331824,0.022932
0.939528,0.189585,0.245719,0.089101,0.327141,0.856148,0.0593785,0.707343
0.165339,0.645731,0.955357,0.853593,0.872399,0.499752,0.0486925,0.186533
0.350434,0.708039,0.441851,0.592625,0.58582,0.183588,0.346908,0.115544
0.586947,0.432248,0.511745,0.719774,0.665126,0.45788,0.184012,0.0385875
0.307196,0.875936,0.756534,0.249403,0.684459,0.0446886,0.90092,0.590369
0.866942,0.895844,0.191477,0.550116,0.687676,0.552806,0.577076,0.958301
0.555963,0.151319,0.885607,0.352158,0.486693,0.921558,0.228016,0.11897
0.982281,0.3305,0.40581,0.950965,0.262823,0.560302,0.00967586,0.262868
0.232026,0.512484,0.0608019,0.103021,0.201746,0.500203,0.64588,0.487946
0.854306,0.893789,0.594495,0.119872,0.484519,0.70849,0.723876,0.245112
0.414703,0.00255448,0.301175,0.50672,0.991757,0.937812,0.312178,0.210091
0.358262,0.948694,0.611736,0.370841,0.45304,0.126066,0.580598,0.491328
